sentence,language,contributor_id,gender,age_group,voice_clip,duration,Region
Ebitongole by'obulamu eby'enjawulo bivuddeyo okuyamba okusitula eby'obulamu mu kuzaala.,Luganda,193,Female,18-29,yogera_text_audio_20240425_085345.872846_2309.wav,0.001666667,Central
Eddagala eryo lisigala mu nnyaanya okumala wiiki nga bbiri.,Luganda,721,Female,18-29,yogera_text_audio_20240425_093545.126118_2071.wav,0.001666667,Central
Minisitule y'eby'obulamu yeetaaga okuteekawo eddwaliro lya Kkookolo mu kitundu.,Luganda,722,Female,18-29,yogera_text_audio_20240425_104836.313933_2311.wav,0.001666667,Central
Omuntu yenna anyooma omulimu gw'okusomesa abaana ba nnasale aba talina kyamanyi.,Luganda,721,Female,18-29,yogera_text_audio_20240425_085156.798115_2188.wav,0.002222222,Central
Abavubuka nno baagala okulima ensangi zino!,Luganda,722,Female,18-29,yogera_text_audio_20240425_081957.253016_2040.wav,0.001111111,Central
Ssente zeetaagisa mu kawefube w'okulwanyisa endwadde.,Luganda,721,Female,18-29,yogera_text_audio_20240425_093545.185672_2285.wav,0.001666667,Central
Kika kya muwogo ki ekisinga obutalumbibwa ndwadde?,Luganda,722,Female,18-29,yogera_text_audio_20240425_104156.680298_2074.wav,0.001388889,Central
Ekibiina kyokusatu ku ssomero lyaffe kati nakyo kyafunye ekizimbe ekipya.,Luganda,722,Female,18-29,yogera_text_audio_20240425_080920.832887_2160.wav,0.001666667,Central
Abasawo abalya enguzi balina okubonerezebwa ddala nga babowa ebintu byabwe.,Luganda,721,Female,18-29,yogera_text_audio_20240425_085156.802444_2259.wav,0.002777778,Central
Akatale k'embwa okimanyi nti mu ggwanga kangi?,Luganda,722,Female,18-29,yogera_text_audio_20240425_113045.989982_2383.wav,0.001111111,Central
Abalwadde bangi bavudde mu bulamu bw'ensi eno lwa kwediima kwa basawo.,Luganda,193,Female,18-29,yogera_text_audio_20240425_075229.935303_2252.wav,0.001388889,Central
Tokimanyi nti abalimi mu biseera by'enkuba basiiba mu nnimiro?,Luganda,722,Female,18-29,yogera_text_audio_20240425_080201.124871_2054.wav,0.001666667,Central
Abantu ennaku zino tebakyatya bulwadde bwa siriimu basinga kutya mbuto.,Luganda,181,Female,18-29,yogera_text_audio_20240426_122122.145859_2320.wav,0.002222222,Central
Lwaki oyagala nnyo okusumagirira mu kibiina?,Luganda,722,Female,18-29,yogera_text_audio_20240425_085802.289890_2154.wav,0.001111111,Central
Obutafaayo bwa gavumenti ku balimi nakyo kibaleetedde okuggwaamu essuubi.,Luganda,723,Female,18-29,yogera_text_audio_20240425_084758.990986_2122.wav,0.001944444,Central
Nneetaaga emmotoka z'ensujju nga kkumi buli wiiki naye ssiziraba.,Luganda,722,Female,18-29,yogera_text_audio_20240425_075241.849406_2028.wav,0.001944444,Central
Omwogezi wa poliisi akakasizza nti omuyiggo gw'omusomesa eyatta omwana gwatandise.,Luganda,193,Female,18-29,yogera_text_audio_20240425_090500.201281_2180.wav,0.001944444,Central
Ebisuubirwa okuva mu makungula nze ssibirinaamu ssuubi.,Luganda,721,Female,18-29,yogera_text_audio_20240425_083449.903583_2100.wav,0.001666667,Central
"Gavumenti z'ebitundu mu Kiruhura, Gulu ne Kayunga ze zaasinze okukola obulungi mu byobulamu.",Luganda,193,Female,18-29,yogera_text_audio_20240425_104356.110876_2234.wav,0.0025,Central
Twawulidde bagamba nti oyo omukulu w'essomero omupya yavudde kampala.,Luganda,181,Female,18-29,yogera_text_audio_20240426_094604.359705_2197.wav,0.001666667,Central
Ab'ebyobulamu bagamba ebintu ebiwomelera bye birwaza abaana amannyo.,Luganda,193,Female,18-29,yogera_text_audio_20240425_103658.737714_2223.wav,0.001388889,Central
Tokimanyi nti abalimi mu biseera by'enkuba basiiba mu nnimiro?,Luganda,721,Female,18-29,yogera_text_audio_20240425_085538.326662_2054.wav,0.001388889,Central
Abantu ennaku zino tebakyatya bulwadde bwa siriimu basinga kutya mbuto.,Luganda,722,Female,18-29,yogera_text_audio_20240425_090249.762841_2320.wav,0.001388889,Central
Bagamba ekyuma ekyaluza enkoko kya buseere nnyo.,Luganda,193,Female,18-29,yogera_text_audio_20240425_093037.679969_2087.wav,0.001111111,Central
Amawanga mangi gakyalwana okudda engulu olwa ssennyiga omukambwe.,Luganda,193,Female,18-29,yogera_text_audio_20240425_102542.336586_2240.wav,0.001388889,Central
Olina okumanya obulungi bw'omusaayi n'amazzi byolina mu mubiri.,Luganda,193,Female,18-29,yogera_text_audio_20240425_092158.278940_2300.wav,0.001666667,Central
Omuwendo gw'abawala abafuna embuto mu masomero gugenze gukendeera.,Luganda,723,Female,18-29,yogera_text_audio_20240425_094557.421755_2163.wav,0.001388889,Central
Mukwano gwange yagenda mu bifo by'abasawo b'ekinnansi okwetegereza engeri gye bajjanjabamu.,Luganda,193,Female,18-29,yogera_text_audio_20240425_083214.229005_2246.wav,0.001944444,Central
Abaana tobaganya kulunda nte bokka ku ttale.,Luganda,193,Female,18-29,yogera_text_audio_20240425_084140.237486_2117.wav,0.001111111,Central
Ettooke lyetaaga kuyunja na kambe akasala obulungi.,Luganda,722,Female,18-29,yogera_text_audio_20240425_075241.865111_2065.wav,0.001388889,Central
"Omwana oyo alina effujjo, tayagala banne batuule ku ntebe mu kibiina.",Luganda,193,Female,18-29,yogera_text_audio_20240425_084424.737711_2136.wav,0.001388889,Central
Abazungu abasooka okujja basanga obuzibu bw'amaanyi okusomesa abaddugavu.,Luganda,722,Female,18-29,yogera_text_audio_20240425_103714.107680_2219.wav,0.001388889,Central
Omuze gw'ebisiyaza gugenze gukendeera mu masomero.,Luganda,722,Female,18-29,yogera_text_audio_20240425_091159.124737_2168.wav,0.001111111,Central
Nammwe mwagala kulima butungulu nga nze?,Luganda,193,Female,18-29,yogera_text_audio_20240425_080247.668541_2114.wav,0.000833333,Central
Ebigezo by'omwaka oguwedde tebyali byangu naddala okubala ne sayansi.,Luganda,722,Female,18-29,yogera_text_audio_20240425_082919.950186_2137.wav,0.001666667,Central
Nnina okulunda ku ndiga nga ssinnafa.,Luganda,181,Female,18-29,yogera_text_audio_20240426_104737.557179_2088.wav,0.001111111,Central
Amakungula ga luno nguzeeko essaati bbiri n'empale emu.,Luganda,193,Female,18-29,yogera_text_audio_20240425_093407.205828_2056.wav,0.001111111,Central
Minisita atandise okulambula amasomero alabe embeera mwe gakolera.,Luganda,193,Female,18-29,yogera_text_audio_20240425_103027.131503_2173.wav,0.001388889,Central
Enkolagana ennungi mu balimi ebayamba okunoonya obutale.,Luganda,193,Female,18-29,yogera_text_audio_20240425_104931.317414_2033.wav,0.001111111,Central
Bulijjo tebakimanyi nti mukyala wa Pulezindenti ate ye minisita w'ebyenjigiriza.,Luganda,723,Female,18-29,yogera_text_audio_20240425_094940.180370_2172.wav,0.001666667,Central
Kika kya muwogo ki ekisinga obutalumbibwa ndwadde?,Luganda,193,Female,18-29,yogera_text_audio_20240425_104931.335550_2074.wav,0.001666667,Central
Abasawo ku ddwaliro ekkulu baagala obukadde bw'ensimbi amakumi abiri obwa Uganda.,Luganda,722,Female,18-29,yogera_text_audio_20240425_081447.677326_2245.wav,0.002222222,Central
Ebifo bya kalantiini bikubyeko abalwadde.,Luganda,193,Female,18-29,yogera_text_audio_20240425_080613.253302_2274.wav,0.001111111,Central
Olunaku lw'eggulo nabadde sitegeera bye basomesa mu sayansi.,Luganda,723,Female,18-29,yogera_text_audio_20240425_085207.126163_2190.wav,0.001944444,Central
Oba lwaki zino essaawa mbeera nsumagira ku kibiina?,Luganda,722,Female,18-29,yogera_text_audio_20240425_082406.108384_2167.wav,0.001666667,Central
Bagamba obusa bw'embizzi bwe busingayo okukola obugimu.,Luganda,722,Female,18-29,yogera_text_audio_20240425_113220.084479_2329.wav,0.001388889,Central
Ssente zeetaagisa mu kawefube w'okulwanyisa endwadde.,Luganda,193,Female,18-29,yogera_text_audio_20240425_092706.609350_2285.wav,0.001111111,Central
Abalwadde b'akawuka ka ssenyiga omukambwe abalala balangiddwa leero.,Luganda,721,Female,18-29,yogera_text_audio_20240425_093129.177464_2270.wav,0.002222222,Central
Abasawo bajja kufuna entambula ey'obwereere okutuuka ku malwaliro.,Luganda,193,Female,18-29,yogera_text_audio_20240425_103830.883896_2260.wav,0.001111111,Central
Bulijjo abaana balya bubi ku ssomero lyammwe.,Luganda,721,Female,18-29,yogera_text_audio_20240425_080029.315374_2165.wav,0.001388889,Central
Ettooke lyetaaga kuyunja na kambe akasala obulungi.,Luganda,181,Female,18-29,yogera_text_audio_20240426_120339.866726_2065.wav,0.001111111,Central
Bwe nteeka ssente mu nnimiro mmanyi zijja kuvaamu.,Luganda,193,Female,18-29,yogera_text_audio_20240425_083544.718925_2120.wav,0.001111111,Central
Kye njagala okulima kyetaaga ssente nnyingi nnyo.,Luganda,181,Female,18-29,yogera_text_audio_20240426_114615.935220_2119.wav,0.001666667,Central
Kabaka yasiimye sente ezavudde mu misinde gye bazikozesa okuzimba ssettendekero w'ebyemikono.,Luganda,722,Female,18-29,yogera_text_audio_20240425_080201.092424_2164.wav,0.0025,Central
Ab'ebyobulamu bagamba ebintu ebiwomelera bye birwaza abaana amannyo.,Luganda,181,Female,18-29,yogera_text_audio_20240426_092711.354197_2223.wav,0.001666667,Central
Obukodyo omusomesa oyo bwakozesa okusomesa tewali mulala abusobola.,Luganda,181,Female,18-29,yogera_text_audio_20240426_110437.673509_2211.wav,0.0025,Central
Abalwadde ba mukenenya babajjanjaba ku bwereere.,Luganda,722,Female,18-29,yogera_text_audio_20240425_080401.077040_2269.wav,0.001111111,Central
Teyategedde nti ebigezo bitandika ku Mmande.,Luganda,193,Female,18-29,yogera_text_audio_20240425_083848.266283_2208.wav,0.001111111,Central
Palamenti yayisizza ssente obuwumbi lwenda bwakuzimba amasomera mukaaga mu disitulikiti ssatu.,Luganda,721,Female,18-29,yogera_text_audio_20240425_083449.888727_2209.wav,0.002777778,Central
Simba emmwanyi buli w'olaba omwagaanya.,Luganda,721,Female,18-29,yogera_text_audio_20240425_083919.340972_2084.wav,0.001111111,Central
Bulijjo tebakimanyi nti mukyala wa Pulezindenti ate ye minisita w'ebyenjigiriza.,Luganda,721,Female,18-29,yogera_text_audio_20240425_085156.830327_2172.wav,0.002222222,Central
Gavumenti tekoze kimala kusobola kubunyisa bikozesebwa mu masomero naddala mu disitulikiti zomu mambuka.,Luganda,723,Female,18-29,yogera_text_audio_20240425_093948.589367_2153.wav,0.0025,Central
Sizoni y'okusimba kasooli ya ddi?,Luganda,722,Female,18-29,yogera_text_audio_20240425_090027.461099_2080.wav,0.000833333,Central
Bagamba obusa bw'embizzi bwe busingayo okukola obugimu.,Luganda,193,Female,18-29,yogera_text_audio_20240425_113518.953265_2329.wav,0.001111111,Central
Twawulidde bagamba nti oyo omukulu w'essomero omupya yavudde kampala.,Luganda,193,Female,18-29,yogera_text_audio_20240425_104931.344143_2197.wav,0.001666667,Central
Minisita w'eby'obulamu mu ggwanga asasulwa buwanana bwa nsimbi.,Luganda,722,Female,18-29,yogera_text_audio_20240425_075454.158020_2312.wav,0.001666667,Central
Emiti gya ffene tegyetaaga bigimusa.,Luganda,722,Female,18-29,yogera_text_audio_20240425_093415.044038_2072.wav,0.001111111,Central
Omukulu w'essomero lyaffe yagenze Kampala mu lukiiko lwabasomesa b'amasomero ga Gavumenti.,Luganda,193,Female,18-29,yogera_text_audio_20240425_103504.956648_2162.wav,0.001666667,Central
Abantu ennaku zino tebakyatya bulwadde bwa siriimu basinga kutya mbuto.,Luganda,723,Female,18-29,yogera_text_audio_20240425_094557.404770_2320.wav,0.001666667,Central
Okwaluza enkoko nga bw'otunda nagwo mulimu.,Luganda,193,Female,18-29,yogera_text_audio_20240425_104142.266889_2086.wav,0.000833333,Central
Abakozi ba Ssaabasajja bakebeddwa endwadde ez'enjawulo,Luganda,193,Female,18-29,yogera_text_audio_20240425_104356.102051_2290.wav,0.001111111,Central
Guno omulembe gwa ndwadde era obulamu tewali.,Luganda,193,Female,18-29,yogera_text_audio_20240425_102542.343777_2280.wav,0.001111111,Central
Mu balaalo omukazi okukama kya bulijjo nnyo.,Luganda,722,Female,18-29,yogera_text_audio_20240425_112758.274046_2375.wav,0.001111111,Central
Buli mulimi yandigenzeeko mu musomo waakiri gumu mu mwaka.,Luganda,181,Female,18-29,yogera_text_audio_20240426_102254.639034_2048.wav,0.001666667,Central
Kkampuni nnyingi ezisogola omwenge nga ziyimiriddewo lwa bitooke bino.,Luganda,721,Female,18-29,yogera_text_audio_20240425_075343.113685_2066.wav,0.001944444,Central
Emiti gya ffene tegyetaaga bigimusa.,Luganda,721,Female,18-29,yogera_text_audio_20240425_075343.081585_2072.wav,0.001111111,Central
Abalina obusobozi obugula eddagala erifuuyira ennyaanya batono.,Luganda,723,Female,18-29,yogera_text_audio_20240425_093948.571784_2024.wav,0.001388889,Central
Enkya nnina okufuna ebigimusa n'ensigo bwe nnaaba ŋŋenze e kampala.,Luganda,193,Female,18-29,yogera_text_audio_20240425_102713.104085_2052.wav,0.001944444,Central
Muganda we yalwadde omutwe negumulemesa okugenda ku ssomero.,Luganda,193,Female,18-29,yogera_text_audio_20240425_092706.591731_2183.wav,0.001111111,Central
Amagezi ge nfunye mu kulima ssigatenda!,Luganda,722,Female,18-29,yogera_text_audio_20240425_113045.974826_2371.wav,0.001111111,Central
Tusaanye tugoberere ebiragiro by'abasawo tusobole okwewala okulwala ssennyiga omukambwe.,Luganda,722,Female,18-29,yogera_text_audio_20240425_080201.114567_2261.wav,0.002222222,Central
Abalwadde ba mukenenya babajjanjaba ku bwereere.,Luganda,723,Female,18-29,yogera_text_audio_20240425_084050.636218_2269.wav,0.001111111,Central
Omuntu alina abasirikale abanafu mu mubiri asobola okukwatibwa mangu endwadde.,Luganda,721,Female,18-29,yogera_text_audio_20240425_092816.694559_2284.wav,0.001944444,Central
Gavumenti yataddewo akakiiko akalondoola emirimu ja minisitule y'ebyobulamu mu disitulikiti yaffe.,Luganda,721,Female,18-29,yogera_text_audio_20240425_085157.634318_2242.wav,0.002777778,Central
Tusobola tutya okutangira ebiwuka mu bijanjaalo mu kiseera ky'okumulisa?,Luganda,721,Female,18-29,yogera_text_audio_20240425_081416.228166_2075.wav,0.001944444,Central
Enva endiirwa nzimanyi nnyo era njagala nnyo okuzirima.,Luganda,721,Female,18-29,yogera_text_audio_20240425_080245.361510_2105.wav,0.001666667,Central
Minisita w'eby'obulamu mu ggwanga asasulwa buwanana bwa nsimbi.,Luganda,721,Female,18-29,yogera_text_audio_20240425_080245.342494_2312.wav,0.001944444,Central
Ebinyeebwa si byangu kulima ne biwera.,Luganda,181,Female,18-29,yogera_text_audio_20240426_121816.217389_2344.wav,0.000833333,Central
Nze sisobola kulya ssente za bisale bya ssomero kuba manyi ssente wezimenya okukola.,Luganda,721,Female,18-29,yogera_text_audio_20240425_093727.829779_2189.wav,0.0025,Central
Bwe biba bigaanyi okulima tokuvaako naye lemerako.,Luganda,193,Female,18-29,yogera_text_audio_20240425_080613.276627_2115.wav,0.001111111,Central
Kikkirizibwa okusimba ebika by'ebijanjaalo eby'enjawulo mu kinnya ekimu?,Luganda,722,Female,18-29,yogera_text_audio_20240425_093823.533950_2069.wav,0.001666667,Central
Kkampuni nnyingi ezisogola omwenge nga ziyimiriddewo lwa bitooke bino.,Luganda,722,Female,18-29,yogera_text_audio_20240425_090447.231165_2066.wav,0.001666667,Central
Twali tukimanyi oyo omwana tagenda kuyita kugenda mu kibiina kiddako.,Luganda,193,Female,18-29,yogera_text_audio_20240425_093037.670492_2204.wav,0.001388889,Central
Okunywa sooda buli lunaku ky'ekimu kubirwaza kkookolo.,Luganda,722,Female,18-29,yogera_text_audio_20240425_093415.069537_2230.wav,0.001111111,Central
Disitulikiti eziri ku nsalo zanjudde omuwendo gw'abalwadde ba ssennyiga omukambwe ogusinga obunene.,Luganda,722,Female,18-29,yogera_text_audio_20240425_092416.014282_2267.wav,0.002222222,Central
Palamenti yayisizza ssente obuwumbi lwenda bwakuzimba amasomera mukaaga mu disitulikiti ssatu.,Luganda,193,Female,18-29,yogera_text_audio_20240425_090915.516772_2209.wav,0.001944444,Central
Kya mugaso okubeera n'amaterekero g'omusaayi mu disitulikiti zonna okwetooloola eggwanga.,Luganda,722,Female,18-29,yogera_text_audio_20240425_090711.795111_2296.wav,0.002222222,Central
Amagezi ge nfunye mu kulima ssigatenda!,Luganda,181,Female,18-29,yogera_text_audio_20240426_115652.802596_2371.wav,0.001111111,Central
"Olwaleero lwa basawo, enkya basomesa.",Luganda,722,Female,18-29,yogera_text_audio_20240425_085500.111202_2256.wav,0.001111111,Central
Minisita w'ebyobulamu yasabye abazadde okuzaalira mu malwaliro agamanyikiddwa.,Luganda,722,Female,18-29,yogera_text_audio_20240425_090249.770203_2227.wav,0.001944444,Central
Njagala kwebaza balimi olw'okumpa omukisa guno mbasomese.,Luganda,722,Female,18-29,yogera_text_audio_20240425_074021.799517_2094.wav,0.001666667,Central
Omubaka wa palamenti oyo bambi yabagabidde bbasale kkumi nga abeebaza okumuyimbiramu.,Luganda,722,Female,18-29,yogera_text_audio_20240425_075939.239527_2210.wav,0.0025,Central
Wali okitegeddeko nti abawala abamu babeera n'endwadde ez'enjawulo?,Luganda,722,Female,18-29,yogera_text_audio_20240425_091945.220681_2289.wav,0.001666667,Central
Bulijjo tebakimanyi nti mukyala wa Pulezindenti ate ye minisita w'ebyenjigiriza.,Luganda,721,Female,18-29,yogera_text_audio_20240425_085157.641451_2172.wav,0.002222222,Central
Minisita yagambye omulwadde eyasembayo okujjanjabwa Ebola yasiibukwa omwezi oguwedde.,Luganda,722,Female,18-29,yogera_text_audio_20240425_084952.903404_2239.wav,0.0025,Central
Ekitongole kisomesa abaana okwewala endwadde eziyita mu kwegatta.,Luganda,721,Female,18-29,yogera_text_audio_20240425_080716.221885_2282.wav,0.001666667,Central
Oyinza obutamanya bakugulako birime byo nga togenze.,Luganda,722,Female,18-29,yogera_text_audio_20240425_112758.287897_2352.wav,0.001388889,Central
Ssente zeetaagisa mu kawefube w'okulwanyisa endwadde.,Luganda,181,Female,18-29,yogera_text_audio_20240426_115652.811118_2285.wav,0.001388889,Central
Lwaki oyagala nnyo okusumagirira mu kibiina?,Luganda,721,Female,18-29,yogera_text_audio_20240425_092319.354291_2154.wav,0.001111111,Central
Obuteeyonja kireeta endwadde.,Luganda,722,Female,18-29,yogera_text_audio_20240425_103019.853968_2288.wav,0.000555556,Central
Abalwadde b'akawuka ka ssenyiga omukambwe abalala balangiddwa leero.,Luganda,193,Female,18-29,yogera_text_audio_20240425_093407.217307_2270.wav,0.001388889,Central
Abatamanyi kulunda obubizzi bwabwe buba bukovvu.,Luganda,722,Female,18-29,yogera_text_audio_20240425_080401.093407_2061.wav,0.001388889,Central
Tasobola kuyita bigezo nga bulijjo tasoma kumpi mwaka mulamba.,Luganda,722,Female,18-29,yogera_text_audio_20240425_073804.457772_2216.wav,0.001666667,Central
Ssaabasajja Kabaka Mutebi atukuutira okwewala endwadde ya Siriimu.,Luganda,722,Female,18-29,yogera_text_audio_20240425_104156.661376_2291.wav,0.001388889,Central
Bagamba ekyuma ekyaluza enkoko kya buseere nnyo.,Luganda,722,Female,18-29,yogera_text_audio_20240425_085802.306832_2087.wav,0.001111111,Central
Ssaabasajja Kabaka Mutebi atukuutira okwewala endwadde ya Siriimu.,Luganda,193,Female,18-29,yogera_text_audio_20240425_104931.306783_2291.wav,0.001388889,Central
Kye njagala okulima kyetaaga ssente nnyingi nnyo.,Luganda,723,Female,18-29,yogera_text_audio_20240425_081812.160192_2119.wav,0.001666667,Central
Nnali ndowooza abaana b'abasomesa babeera bagezi nnyo.,Luganda,723,Female,18-29,yogera_text_audio_20240425_084457.363806_2205.wav,0.001666667,Central
Siriimu atta abagagga n'abaavu.,Luganda,721,Female,18-29,yogera_text_audio_20240425_084323.501658_2319.wav,0.001111111,Central
Kamalabyonna agamba mu buli mbeera eggwanga lirina okusoosowaza eby'obulamu,Luganda,722,Female,18-29,yogera_text_audio_20240425_075041.551939_2308.wav,0.002222222,Central
Buli mulimi yandigenzeeko mu musomo waakiri gumu mu mwaka.,Luganda,721,Female,18-29,yogera_text_audio_20240425_083449.896640_2048.wav,0.001666667,Central
Gavumenti erina okuteeka eddagala mu malwaliro okusobola okulongoosa eby'obulamu.,Luganda,722,Female,18-29,yogera_text_audio_20240425_090956.618619_2315.wav,0.001944444,Central
Okolaganye otya ne balimi banno?,Luganda,721,Female,18-29,yogera_text_audio_20240425_083449.910634_2110.wav,0.001111111,Central
Ebitabo byonna gavumenti byeyatuwadde ate abakulu b'essomero babitunze.,Luganda,181,Female,18-29,yogera_text_audio_20240426_105528.074740_2222.wav,0.002777778,Central
Emmotoka etambuza abalwadde erina kuddukanyizibwa omusawo omukugu.,Luganda,193,Female,18-29,yogera_text_audio_20240425_080613.269420_2266.wav,0.001666667,Central
Osuubira obuyana bumeka omwaka guno?,Luganda,722,Female,18-29,yogera_text_audio_20240425_113610.992444_2369.wav,0.000833333,Central
Amasomero agasinga gaddamu okukiriza abazadde okuleetera abaana emmere ku lunaku lw'okukyala.,Luganda,722,Female,18-29,yogera_text_audio_20240425_090027.469124_2198.wav,0.002222222,Central
Disitulikiti eziri ku nsalo zanjudde omuwendo gw'abalwadde ba ssennyiga omukambwe ogusinga obunene.,Luganda,721,Female,18-29,yogera_text_audio_20240425_093727.858068_2267.wav,0.002777778,Central
Bw'otema emiti emirwadde ate kyongera kusaasaanya bulwadde.,Luganda,722,Female,18-29,yogera_text_audio_20240425_085500.121839_2041.wav,0.001666667,Central
Teweesiba ku balimi batalina gye bakutwala.,Luganda,181,Female,18-29,yogera_text_audio_20240426_093822.110900_2392.wav,0.001111111,Central
Abayimbi abambala obubi babagoba mu masomero gonna mu ggwanga.,Luganda,193,Female,18-29,yogera_text_audio_20240425_083544.734242_2184.wav,0.001666667,Central
Abalunda embizzi beeraliikirivu olw'omusujja oguwuliddwa ku muliraano.,Luganda,193,Female,18-29,yogera_text_audio_20240425_084029.633938_2096.wav,0.001666667,Central
Minisita w'ebyobulimi ye mugenyi omukulu leero.,Luganda,193,Female,18-29,yogera_text_audio_20240425_093554.938154_2025.wav,0.000833333,Central
Minisita w'ebyobulimi ye mugenyi omukulu leero.,Luganda,181,Female,18-29,yogera_text_audio_20240426_090431.124351_2025.wav,0.001111111,Central
Appolo Kaggwa yali musajja musomesa mulungi.,Luganda,722,Female,18-29,yogera_text_audio_20240425_091610.787621_2220.wav,0.001111111,Central
Abalimi buli omu alina ky'asinza munne.,Luganda,722,Female,18-29,yogera_text_audio_20240425_113438.569271_2387.wav,0.001111111,Central
Abalunda embizzi beeraliikirivu olw'omusujja oguwuliddwa ku muliraano.,Luganda,721,Female,18-29,yogera_text_audio_20240425_092958.429940_2096.wav,0.0025,Central
